airport,operation_category,ops_scenario,feasibility_scenario,adoption_scenario,operation_category_short,label,color
PAE,eVTOL,High,Fast,Slow,eVTOL,PAE_eVTOL_ops=High_feasibility=Fast_adoption=Slow,
PAE,eVTOL,High,Fast,Medium,eVTOL,PAE_eVTOL_ops=High_feasibility=Fast_adoption=Medium,
PAE,eVTOL,High,Fast,Fast,eVTOL,PAE_eVTOL_ops=High_feasibility=Fast_adoption=Fast,
PAE,Total,Low,Slow,Slow,Total,PAE_Total_ops=Low_feasibility=Slow_adoption=Slow,
PAE,Total,Low,Slow,Medium,Total,PAE_Total_ops=Low_feasibility=Slow_adoption=Medium,
PAE,Total,Low,Slow,Fast,Total,PAE_Total_ops=Low_feasibility=Slow_adoption=Fast,
PAE,Total,Low,Medium,Slow,Total,PAE_Total_ops=Low_feasibility=Medium_adoption=Slow,
PAE,Total,Low,Medium,Medium,Total,PAE_Total_ops=Low_feasibility=Medium_adoption=Medium,
PAE,Total,Low,Medium,Fast,Total,PAE_Total_ops=Low_feasibility=Medium_adoption=Fast,
PAE,Total,Low,Fast,Slow,Total,PAE_Total_ops=Low_feasibility=Fast_adoption=Slow,
PAE,Total,Low,Fast,Medium,Total,PAE_Total_ops=Low_feasibility=Fast_adoption=Medium,
PAE,Total,Low,Fast,Fast,Total,PAE_Total_ops=Low_feasibility=Fast_adoption=Fast,
PAE,Total,Medium,Slow,Slow,Total,PAE_Total_ops=Medium_feasibility=Slow_adoption=Slow,
PAE,Total,Medium,Slow,Medium,Total,PAE_Total_ops=Medium_feasibility=Slow_adoption=Medium,
PAE,Total,Medium,Slow,Fast,Total,PAE_Total_ops=Medium_feasibility=Slow_adoption=Fast,
PAE,Total,Medium,Medium,Slow,Total,PAE_Total_ops=Medium_feasibility=Medium_adoption=Slow,
PAE,Total,Medium,Medium,Medium,Total,PAE_Total_ops=Medium_feasibility=Medium_adoption=Medium,
PAE,Total,Medium,Medium,Fast,Total,PAE_Total_ops=Medium_feasibility=Medium_adoption=Fast,
PAE,Total,Medium,Fast,Slow,Total,PAE_Total_ops=Medium_feasibility=Fast_adoption=Slow,
PAE,Total,Medium,Fast,Medium,Total,PAE_Total_ops=Medium_feasibility=Fast_adoption=Medium,
PAE,Total,Medium,Fast,Fast,Total,PAE_Total_ops=Medium_feasibility=Fast_adoption=Fast,
PAE,Total,High,Slow,Slow,Total,PAE_Total_ops=High_feasibility=Slow_adoption=Slow,
PAE,Total,High,Slow,Medium,Total,PAE_Total_ops=High_feasibility=Slow_adoption=Medium,
PAE,Total,High,Slow,Fast,Total,PAE_Total_ops=High_feasibility=Slow_adoption=Fast,
PAE,Total,High,Medium,Slow,Total,PAE_Total_ops=High_feasibility=Medium_adoption=Slow,
PAE,Total,High,Medium,Medium,Total,PAE_Total_ops=High_feasibility=Medium_adoption=Medium,
PAE,Total,High,Medium,Fast,Total,PAE_Total_ops=High_feasibility=Medium_adoption=Fast,
PAE,Total,High,Fast,Slow,Total,PAE_Total_ops=High_feasibility=Fast_adoption=Slow,
PAE,Total,High,Fast,Medium,Total,PAE_Total_ops=High_feasibility=Fast_adoption=Medium,
PAE,Total,High,Fast,Fast,Total,PAE_Total_ops=High_feasibility=Fast_adoption=Fast,
MWH,Local Civil,Low,Slow,Slow,LclCvl,MWH_LclCvl_ops=Low_feasibility=Slow_adoption=Slow,
MWH,Local Civil,Low,Slow,Medium,LclCvl,MWH_LclCvl_ops=Low_feasibility=Slow_adoption=Medium,
MWH,Local Civil,Low,Slow,Fast,LclCvl,MWH_LclCvl_ops=Low_feasibility=Slow_adoption=Fast,
MWH,Local Civil,Low,Medium,Slow,LclCvl,MWH_LclCvl_ops=Low_feasibility=Medium_adoption=Slow,
MWH,Local Civil,Low,Medium,Medium,LclCvl,MWH_LclCvl_ops=Low_feasibility=Medium_adoption=Medium,
MWH,Local Civil,Low,Medium,Fast,LclCvl,MWH_LclCvl_ops=Low_feasibility=Medium_adoption=Fast,
MWH,Local Civil,Low,Fast,Slow,LclCvl,MWH_LclCvl_ops=Low_feasibility=Fast_adoption=Slow,
MWH,Local Civil,Low,Fast,Medium,LclCvl,MWH_LclCvl_ops=Low_feasibility=Fast_adoption=Medium,
MWH,Local Civil,Low,Fast,Fast,LclCvl,MWH_LclCvl_ops=Low_feasibility=Fast_adoption=Fast,
MWH,Local Civil,Medium,Slow,Slow,LclCvl,MWH_LclCvl_ops=Medium_feasibility=Slow_adoption=Slow,
MWH,Local Civil,Medium,Slow,Medium,LclCvl,MWH_LclCvl_ops=Medium_feasibility=Slow_adoption=Medium,
MWH,Local Civil,Medium,Slow,Fast,LclCvl,MWH_LclCvl_ops=Medium_feasibility=Slow_adoption=Fast,
MWH,Local Civil,Medium,Medium,Slow,LclCvl,MWH_LclCvl_ops=Medium_feasibility=Medium_adoption=Slow,
MWH,Local Civil,Medium,Medium,Medium,LclCvl,MWH_LclCvl_ops=Medium_feasibility=Medium_adoption=Medium,
MWH,Local Civil,Medium,Medium,Fast,LclCvl,MWH_LclCvl_ops=Medium_feasibility=Medium_adoption=Fast,
MWH,Local Civil,Medium,Fast,Slow,LclCvl,MWH_LclCvl_ops=Medium_feasibility=Fast_adoption=Slow,
MWH,Local Civil,Medium,Fast,Medium,LclCvl,MWH_LclCvl_ops=Medium_feasibility=Fast_adoption=Medium,
MWH,Local Civil,Medium,Fast,Fast,LclCvl,MWH_LclCvl_ops=Medium_feasibility=Fast_adoption=Fast,
MWH,Local Civil,High,Slow,Slow,LclCvl,MWH_LclCvl_ops=High_feasibility=Slow_adoption=Slow,
MWH,Local Civil,High,Slow,Medium,LclCvl,MWH_LclCvl_ops=High_feasibility=Slow_adoption=Medium,
MWH,Local Civil,High,Slow,Fast,LclCvl,MWH_LclCvl_ops=High_feasibility=Slow_adoption=Fast,
MWH,Local Civil,High,Medium,Slow,LclCvl,MWH_LclCvl_ops=High_feasibility=Medium_adoption=Slow,
MWH,Local Civil,High,Medium,Medium,LclCvl,MWH_LclCvl_ops=High_feasibility=Medium_adoption=Medium,
MWH,Local Civil,High,Medium,Fast,LclCvl,MWH_LclCvl_ops=High_feasibility=Medium_adoption=Fast,
MWH,Local Civil,High,Fast,Slow,LclCvl,MWH_LclCvl_ops=High_feasibility=Fast_adoption=Slow,
MWH,Local Civil,High,Fast,Medium,LclCvl,MWH_LclCvl_ops=High_feasibility=Fast_adoption=Medium,
MWH,Local Civil,High,Fast,Fast,LclCvl,MWH_LclCvl_ops=High_feasibility=Fast_adoption=Fast,
MWH,Itinerant General Aviation,Low,Slow,Slow,ItinGA,MWH_ItinGA_ops=Low_feasibility=Slow_adoption=Slow,
MWH,Itinerant General Aviation,Low,Slow,Medium,ItinGA,MWH_ItinGA_ops=Low_feasibility=Slow_adoption=Medium,
MWH,Itinerant General Aviation,Low,Slow,Fast,ItinGA,MWH_ItinGA_ops=Low_feasibility=Slow_adoption=Fast,
MWH,Itinerant General Aviation,Low,Medium,Slow,ItinGA,MWH_ItinGA_ops=Low_feasibility=Medium_adoption=Slow,
MWH,Itinerant General Aviation,Low,Medium,Medium,ItinGA,MWH_ItinGA_ops=Low_feasibility=Medium_adoption=Medium,
